"home_team","away_team","home_score","away_score","home_ml","total_line","away_ml"
"SJ","EDM",1,7,-165,7,140
"DAL","CGY",5,6,-105,6,-115
"COL","OTT",7,0,143,6,-170
"DET","CLB",3,4,196,6.5,-240
"NYI","MON",2,1,205,5.5,-250
"WAS","PHI",1,3,175,6,-210
"CAR","PIT",2,1,185,6,-225
"BOS","TOR",4,3,130,6,-155
"FLA","VAN",4,3,175,7,-210
"MIN","ARI",2,1,300,6,-385
"NSH","BUF",3,5,110,6.5,-130
"CHI","SEA",5,8,-235,6,192
"STL","TB",2,4,-195,6,162
"LV","EDM",3,4,115,6.5,-135
"LA","NJ",2,5,110,6.5,-130
"NYR","MON",1,2,310,6,-400
"CAR","VAN",3,4,228,6.5,-285
"WPG","ARI",2,1,300,6,-385
"BUF","FLA",1,4,-125,7,105
"BOS","PHI",6,0,250,6,-320
"COL","DET",6,3,162,6.5,-195
"SJ","NJ",3,4,-190,6.5,158
"SEA","TB",1,4,-145,6.5,122
"LV","DAL",0,4,-105,6,-115
"PIT","ANA",4,3,270,6.5,-345
"CLB","NYR",1,3,-170,6.5,143
"NYI","WAS",3,4,-110,5.5,-110
"NSH","CGY",2,1,-135,6,115
"STL","OTT",2,1,-115,6.5,-105
"PHI","ANA",5,2,175,6,-210
"TOR","FLA",5,4,140,6.5,-165
"WAS","MIN",2,4,-145,6,122
"MON","WPG",4,1,-260,6,210
"NSH","CLB",2,1,175,6.5,-210
"CHI","BUF",4,3,-205,6.5,170
"ARI","DET",4,3,-135,6,115
"EDM","SEA",5,2,158,6.5,-190
"OTT","PIT",5,4,-105,6,-115
"NYI","BOS",1,4,-190,5.5,158
"CGY","COL",1,4,130,6,-155
"VAN","TB",2,5,-150,6.5,126
"SJ","DAL",5,3,-165,6,140
"CLB","ANA",3,5,143,6.5,-170
"NYR","BOS",1,3,-110,5.5,-110
"PHI","CHI",1,4,192,6,-235
"MON","FLA",2,6,-240,6.5,196
"CAR","MIN",5,2,150,5.5,-178
"TOR","WPG",4,1,143,6.5,-170
"BUF","NYI",3,2,110,6,-130
"STL","NSH",5,2,-120,6,100
"EDM","TB",5,3,105,6.5,-125
"ARI","WAS",0,4,-225,6,185
"LV","DET",2,3,143,6.5,-170
"SEA","NJ",4,3,-135,6.5,115
"LA","DAL",0,4,118,6,-140
"PIT","OTT",4,1,140,6.5,-165
"VAN","COL",1,4,-145,6.5,122
"BUF","ANA",6,3,235,6.5,-292
"CGY","TB",6,3,-105,6,-115
"FLA","MIN",5,3,-105,6.5,-115
"DET","PHI",1,2,118,6,-140
"CLB","SJ",5,3,-135,6.5,115
"MON","TOR",3,2,-385,6.5,300
"OTT","WPG",1,5,-135,6,115
"NYI","CAR",2,5,-178,5.5,150
"DAL","ARI",4,0,278,6,-355
"STL","CHI",3,5,222,6,-278
"NSH","LA",5,3,-105,6,-115
"SEA","COL",1,2,-110,6,-110
"VAN","EDM",2,4,-195,7,162
"LV","WAS",6,2,115,6,-135
"NJ","PIT",2,1,122,6.5,-145
"CHI","LA",1,2,-235,6,192
"BOS","SJ",4,0,300,6,-385
"PHI","WPG",3,5,-165,6.5,140
"ARI","LV",4,1,-220,6,180
"NYR","FLA",6,2,135,6.5,-160
"TOR","NYI",5,2,192,6,-235
"DAL","BUF",2,3,158,6.5,-190
"CGY","CLB",4,3,285,6.5,-365
"MON","BOS",2,4,-420,6,320
"PIT","FLA",7,6,148,6.5,-175
"PHI","LA",3,4,-130,6,110
"TB","MIN",4,2,143,6,-170
"DET","SJ",3,2,118,6.5,-140
"NJ","LV",3,2,150,6.5,-178
"STL","BUF",3,5,115,6.5,-135
"NSH","WPG",2,1,-120,5.5,100
"ARI","ANA",2,5,105,6.5,-125
"COL","WAS",3,2,110,6,-130
"VAN","CHI",5,2,196,6.5,-240
"OTT","NYI",2,1,110,6,-130
"TOR","NYR",3,2,135,6,-160
"DAL","CAR",2,3,-115,6,-105
"EDM","CLB",2,3,310,6.5,-400
"SEA","VAN",6,1,150,6.5,-178
"TB","BOS",3,2,-105,6,-115
"MON","DET",3,4,-165,6,140
"WAS","PIT",3,2,110,6.5,-130
"WPG","BUF",2,3,158,6.5,-190
"NSH","NJ",6,4,-120,6,100
"MIN","PHI",3,2,192,6,-235
"COL","ANA",3,5,320,6.5,-420
"CGY","CHI",1,5,310,6,-400
"ARI","STL",5,0,-150,6.5,126
"NYI","DET",2,0,158,5.5,-190
"FLA","LA",3,4,118,6.5,-140
"TOR","OTT",2,6,170,6.5,-205
"CAR","SJ",5,4,222,6,-278
"NYR","LV",4,1,115,6,-135
"DAL","NJ",2,3,135,6,-160
"SEA","CGY",2,5,-105,6,-115
"VAN","CLB",5,2,152,7,-180
"COL","STL",4,2,185,6,-225
"FLA","BOS",4,3,-160,6.5,135
"WPG","PHI",0,4,185,6,-225
"TB","LA",5,2,196,6,-240
"OTT","MON",5,0,196,6.5,-240
"PIT","SJ",4,6,205,6.5,-250
"NYI","LV",2,1,-115,6,-105
"MIN","BUF",3,2,150,6.5,-178
"SEA","CLB",3,1,215,6.5,-267
"EDM","CHI",7,3,345,6.5,-455
"ANA","ARI",2,1,-105,6.5,-115
"CAR","BOS",4,1,105,5.5,-125
"TOR","WAS",5,1,118,6,-140
"WPG","STL",4,2,196,6,-240
"CAR","LA",5,4,175,6,-210
"MON","OTT",4,5,-205,6.5,170
"CLB","WAS",3,4,-220,6.5,180
